ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
PATL,medium_airport,Tatalina LRRS Airport,"-155.977005005, 62.894401550299996",964,NA,US,US-AK,Takotna,PATL,TLJ,TLJ
PATQ,medium_airport,Atqasuk Edward Burnell Sr Memorial Airport,"-157.43600463867188, 70.46730041503906",96,NA,US,US-AK,Atqasuk,PATQ,ATK,ATK
PAUK,small_airport,Alakanuk Airport,"-164.659927368, 62.680042266799994",10,NA,US,US-AK,Alakanuk,PAUK,AUK,AUK
PAUM,small_airport,Umiat Airport,"-152.1360016, 69.37110138",267,NA,US,US-AK,Umiat,PAUM,UMT,UMT
PAUN,small_airport,Unalakleet Airport,"-160.798996, 63.88840103",27,NA,US,US-AK,Unalakleet,PAUN,UNK,UNK
PAUO,small_airport,Willow Airport,"-150.052001953, 61.7541999817",221,NA,US,US-AK,Willow,PAUO,WOW,UUO
PAVA,small_airport,Chevak Airport,"-165.6005, 61.5409",75,NA,US,US-AK,Chevak,PAVA,VAK,VAK
PAVC,small_airport,King Cove Airport,"-162.26600646972656, 55.11629867553711",155,NA,US,US-AK,King Cove,PAVC,KVC,KVC
PAVD,medium_airport,Valdez Pioneer Field,"-146.2480011, 61.13389969",121,NA,US,US-AK,Valdez,PAVD,VDZ,VDZ
PAVE,small_airport,Venetie Airport,"-146.365997314, 67.0086975098",574,NA,US,US-AK,Venetie,PAVE,VEE,VEE
PAVL,medium_airport,Kivalina Airport,"-164.56300354003906, 67.73619842529297",13,NA,US,US-AK,Kivalina,PAVL,KVL,KVL
PAWB,small_airport,Beaver Airport,"-147.406997681, 66.362197876",359,NA,US,US-AK,Beaver,PAWB,WBQ,WBQ
PAWD,medium_airport,Seward Airport,"-149.41900634765625, 60.12689971923828",22,NA,US,US-AK,Seward,PAWD,SWD,SWD
PAWG,medium_airport,Wrangell Airport,"-132.3699951, 56.48429871",49,NA,US,US-AK,Wrangell,PAWG,WRG,WRG
PAWI,medium_airport,Wainwright Airport,"-159.994995117, 70.6380004883",41,NA,US,US-AK,Wainwright,PAWI,AIN,AWI
PAWM,small_airport,White Mountain Airport,"-163.412994385, 64.689201355",267,NA,US,US-AK,White Mountain,PAWM,WMO,WMO
PAWN,medium_airport,Noatak Airport,"-162.97500610351562, 67.56610107421875",88,NA,US,US-AK,Noatak,PAWN,WTK,WTK
PAWS,medium_airport,Wasilla Airport,"-149.539993286, 61.5717010498",354,NA,US,US-AK,Wasilla,PAWS,WWA,IYS
PAYA,medium_airport,Yakutat Airport,"-139.660003662, 59.5032997131",33,NA,US,US-AK,Yakutat,PAYA,YAK,YAK
PCIS,medium_airport,Canton Island Airport,"-171.710006714, -2.7681200504300003",9,OC,KI,KI-P,Abariringa,PCIS,CIS,
PCO,small_airport,Punta Colorada Airport,"-109.535826, 23.575011",55,NA,MX,MX-BCS,La Ribera,MMPL,PCO,PCL
PCQ,small_airport,Boun Neau Airport,"101.9, 21.6475",3050,AS,LA,LA-PH,Phongsaly,VLFL,PCQ,
PDI,small_airport,Pindiu Airport,"147.515833333, -6.445138888890001",2995,OC,PG,PG-MPL,Pindiu,AYPD,PDI,PDU
PDR,small_airport,Presidente José Sarney Airport,"-44.481, -5.3098",400,SA,BR,BR-MA,Presidente Dutra,SJKE,PDR,SJKE
PE-MFT,small_airport,Machu Pichu Airport,"-72.5666732788086, -13.116666793823242",9500,SA,PE,PE-HUC,Machu Pichu,,MFT,
PFAK,small_airport,Akiak Airport,"-161.231002808, 60.9029006958",30,NA,US,US-AK,Akiak,PFAK,AKI,AKI
PFAL,small_airport,Allakaket Airport,"-152.621994019, 66.5518035889",441,NA,US,US-AK,Allakaket,PFAL,AET,6A8
PFC,small_airport,Pacific City State Airport,"-123.961997986, 45.199798584",5,NA,US,US-OR,Pacific City,KPFC,PFC,PFC
PFCB,small_airport,Chenega Bay Airport,"-147.992004395, 60.0773010254",72,NA,US,US-AK,Chenega,PFCB,NCN,C05
PFCL,small_airport,Clarks Point Airport,"-158.529007, 58.83369827",80,NA,US,US-AK,Clarks Point,PFCL,CLP,CLP
PFEL,small_airport,Elim Airport,"-162.2720032, 64.61470032",162,NA,US,US-AK,Elim,PFEL,ELI,ELI
PFKA,small_airport,Kasigluk Airport,"-162.5240021, 60.87440109",48,NA,US,US-AK,Kasigluk,PFKA,KUK,Z09
PFKK,small_airport,Kokhanok Airport,"-154.804000854, 59.433200836199994",115,NA,US,US-AK,Kokhanok,PFKK,KNK,9K2
PFKO,small_airport,Kotlik Airport,"-163.533004761, 63.0306015015",15,NA,US,US-AK,Kotlik,PFKO,KOT,2A9
PFKT,small_airport,Brevig Mission Airport,"-166.466003418, 65.3312988281",38,NA,US,US-AK,Brevig Mission,PFKT,KTS,KTS
PFKU,small_airport,Koyukuk Airport,"-157.727005005, 64.8760986328",149,NA,US,US-AK,Koyukuk,PFKU,KYU,KYU
PFKW,small_airport,Kwethluk Airport,"-161.444000244, 60.790298461899994",25,NA,US,US-AK,Kwethluk,PFKW,KWT,KWT
PFNO,small_airport,Robert (Bob) Curtis Memorial Airport,"-161.0189972, 66.81790161",55,NA,US,US-AK,Noorvik,PFNO,ORV,D76
PFSH,small_airport,Shaktoolik Airport,"-161.223999, 64.37110138",24,NA,US,US-AK,Shaktoolik,PFSH,SKK,2C7
PFTO,small_airport,Tok Junction Airport,"-142.9539948, 63.32949829",1639,NA,US,US-AK,Tok,PFTO,TKJ,6K8
PFWS,small_airport,South Naknek Nr 2 Airport,"-157.007995605, 58.7033996582",162,NA,US,US-AK,South Naknek,PFWS,WSN,WSN
PFYU,medium_airport,Fort Yukon Airport,"-145.25, 66.57150268554688",433,NA,US,US-AK,Fort Yukon,PFYU,FYU,FYU
PG-0005,small_airport,Cape Rodney Airport,"148.379030228, -10.179823004",22,OC,PG,PG-CPM,Cape Rodney,,CPN,CPR
PG-0006,small_airport,Emirau Airport,"149.9757667, -1.653949991",172,OC,PG,PG-NIK,Emirau Island,AYEE,EMI,ERU
PG-0007,small_airport,Erave Airport,"143.900213242, -6.60646315446",3650,OC,PG,PG-SHM,Erave,AYEV,ERE,ERV
PG-0008,small_airport,Esa'ala Airport,"150.954208374, -9.874327023180001",10,OC,PG,PG-MBA,Esa'ala,,ESA,ESA
